"","SLC_SMT_NEG_91J","SLC_SMT_NEG_142J","SLC_SMT_NEG_152I","SLC_SMT_NEG_90I","SLC_SMT_NEG_109I","SLC_SMT_NEG_160I","SLC_SMT_NEG_144I","SLC_SMT_NEG_156I","SLC_SMT_NEG_191I","SLC_SMT_NEG_152J","SLC_SMT_NEG_109J","SLC_SMT_NEG_153I","SLC_SMT_NEG_110I","SLC_SMT_NEG_158I","SLC_SMT_NEG_192I","SLC_SMT_NEG_160J","SLC_SMT_NEG_191J","SLC_SMT_NEG_155I","SLC_SMT_NEG_103I","SLC_SMT_NEG_159I","SLC_SMT_NEG_193I","SLC_SMT_NEG_153J","SLC_SMT_NEG_110J","SLC_SMT_NEG_17I","SLC_SMT_NEG_101I","SLC_SMT_NEG_137I","SLC_SMT_NEG_103J","SLC_SMT_NEG_159J","SLC_SMT_NEG_193J","SLC_SMT_NEG_88I","SLC_SMT_NEG_18I","SLC_SMT_NEG_141I","SLC_SMT_NEG_17J","SLC_SMT_NEG_101J","SLC_SMT_NEG_197I","SLC_SMT_NEG_91I","SLC_SMT_NEG_15I","SLC_SMT_NEG_142I","SLC_SMT_NEG_18J","SLC_SMT_NEG_194I","SLC_SMT_NEG_89I","SLC_SMT_NEG_16I","SLC_SMT_NEG_143I","SLC_SMT_NEG_141J","SLC_SMT_NEG_194J","SLC_SMT_NEG_75I","SLC_SMT_NEG_89J"
"Duncaniella dubosii",69467,1293,534,906,10625,27825,3126,20,38617,33,66215,819,3120,23,6345,3000,27235,0,216,0,96747,24954,57464,1461,8051,88,113684,0,141866,22438,0,333,6271,34498,19026,315274,30,27,22,80,977,11,38,632,0,111,1133
"Duncaniella sp910589485",49493,167854,115,1150,2997,125132,3924,125157,8656,21,4630,7911,14580,53025,2709,14104,2638,0,1520,2501,43334,46338,14132,6401,3567,308663,8772,9962,38906,63662,11328,13554,15562,9215,51486,310531,60704,6203,48570,222,8754,11438,12781,40796,44,346141,712
"Duncaniella sp001689575",55678,7665,245,1134,31594,16899,2356,25642,50858,44,38233,1754,24771,7750,15459,2379,17699,0,2999,1618,199329,27644,21327,2705,12609,280285,20729,6709,184018,26930,15212,4451,6859,18066,13407,305053,41466,405,42127,29,8071,15785,476,7742,0,461365,1587
"Duncaniella muris",14120,111320,472,288,3761,34609,369,596,10339,65,16555,1128,4510,885,2029,4052,8126,0,1161,0,41177,25663,17556,1777,3595,3460,16683,90,69642,20885,190,31632,6568,15659,7632,67513,669,956,840,62,1958,210,6702,100106,0,4611,1166
"Duncaniella sp910578445",1522,972,55,52,443,1609,130,183,1325,0,1575,73,395,373,353,207,939,0,213,0,2746,1860,1481,70,382,1124,2586,16,3855,725,86,564,405,1591,757,7835,169,45,403,0,246,50,64,1407,0,1297,150
"Duncaniella freteri",1211,2252,71,75,1274,2124,99,101,2040,13,1255,187,2440,59,908,268,615,0,655,0,7276,1823,4375,118,764,550,5865,26,10909,1328,20,929,529,2948,697,7721,154,100,75,107,801,45,121,1722,2272,786,208
"Duncaniella sp910578515",1088,3447,133,88,460,3630,127,630,2951,20,1025,717,859,214,652,545,1091,0,344,13,6272,7626,3888,368,751,1413,7868,42,11038,2801,19,1064,1241,5082,1597,7108,300,61,148,11,3008,30,141,1898,0,974,1458
"Duncaniella sp910577255",895,1516,46,54,847,2728,117,377,2650,0,1237,480,866,178,562,396,827,0,706,0,5595,5666,3478,261,726,983,6159,38,8699,2204,24,1258,979,4212,843,5548,227,61,137,0,2443,41,210,2354,0,741,1026
"Duncaniella sp910577345",822,2407,27,36,218,2629,64,1859,1167,0,413,323,396,723,224,309,482,0,122,17,2393,3294,1240,190,301,3999,1914,108,3812,1712,122,485,658,1714,959,5941,673,75,585,0,889,92,155,1154,0,3668,349
"Duncaniella sp910577335",779,2098,119,101,864,1977,117,266,2146,26,893,289,1086,285,715,228,829,0,437,0,5237,2675,1640,121,546,1170,3226,38,7702,909,66,1277,461,2120,997,5196,187,77,280,0,1501,46,155,2173,0,1189,580
"MGYG000325799",567,4833,24,17,105,1495,24,66,327,0,609,48,123,36,92,199,379,0,20,0,1613,948,708,79,185,386,573,20,2350,778,12,1382,246,705,258,2738,117,38,41,0,56,25,372,4099,0,407,34
"Duncaniella sp014802345",477,509,36,23,620,938,45,110,1120,0,688,70,633,88,332,123,398,0,952,0,3277,911,1030,48,396,274,1428,0,4680,407,12,173,205,958,357,2745,70,39,60,0,589,22,46,343,0,330,210
"Duncaniella sp910578615",239,5846,0,0,90,148,0,10,209,0,156,14,148,0,30,16,68,0,35,0,436,178,351,0,79,51,384,0,778,113,0,27747,36,228,53,871,14,94,10,0,57,0,1219,127697,0,83,10
"MGYG000325465",238,761,37,17,183,519,23,36,376,10,192,60,229,55,109,69,186,0,64,0,828,621,296,28,108,290,586,11,1168,227,15,207,139,385,279,1653,59,18,55,0,181,16,25,420,0,393,70
"Duncaniella sp910586305",213,290,20,10,174,718,14,51,473,0,205,45,207,55,99,72,191,0,39,0,666,777,183,53,79,342,272,15,890,214,21,120,161,332,204,960,50,11,53,0,125,17,25,285,0,403,39
"Duncaniella sp001689495",148,362,0,0,143,559,15,100,364,0,155,40,268,144,79,88,153,0,49,0,497,640,178,29,106,704,369,11,737,178,28,238,160,492,184,664,95,57,200,0,160,21,41,381,0,758,27
"MGYG000327170",150,346,0,13,61,459,18,41,220,0,104,32,64,28,67,47,112,0,24,0,376,515,193,27,58,162,260,0,636,194,0,189,121,226,149,972,25,20,24,0,105,0,20,219,0,138,52
"Duncaniella sp910584825",122,120,0,0,61,160,10,76,125,0,56,0,37,35,40,21,44,0,0,0,276,107,52,19,25,559,21,21,259,82,25,22,21,50,64,596,125,0,65,0,21,42,13,58,0,656,0
"Duncaniella sp910587165",119,75,0,0,63,347,11,22,216,0,90,28,35,17,46,36,80,0,18,0,310,396,84,20,40,108,157,0,481,204,0,52,83,227,87,486,18,0,0,0,88,0,0,102,0,130,23
"MGYG000325518",113,363,0,0,52,195,0,23,125,0,102,11,40,81,37,21,102,0,18,0,248,183,90,11,36,211,121,0,339,97,17,134,41,129,68,442,49,0,54,0,42,26,34,353,0,310,14
"Duncaniella sp002494015",89,242,0,0,56,158,0,56,133,0,88,11,42,112,43,16,88,0,23,0,364,217,86,0,31,473,162,11,474,45,20,121,40,85,81,548,93,0,97,0,57,30,12,313,0,647,43
"Duncaniella sp910587515",83,201,20,14,99,322,14,0,196,0,65,33,168,0,75,29,109,0,24,0,347,397,131,16,62,46,255,0,495,93,0,54,63,233,115,548,11,13,10,0,110,0,10,118,0,52,23
"Duncaniella sp910586665",80,87,0,0,36,149,0,25,113,0,77,11,46,20,24,19,60,0,27,0,175,164,80,11,37,126,130,0,268,62,0,47,33,114,41,361,16,0,25,0,54,0,11,81,0,165,11
"Duncaniella sp014801945",72,84,0,0,29,86,0,13,55,0,51,0,14,10,13,0,36,0,0,0,103,47,44,0,17,63,58,0,144,20,0,16,0,49,24,247,17,0,11,0,12,0,0,36,0,92,0
"Duncaniella sp910588795",56,113,0,0,54,202,10,49,98,0,46,22,155,38,24,21,39,0,22,0,244,196,129,0,38,156,197,11,312,101,11,26,41,156,47,358,49,11,25,0,65,0,12,46,0,154,34
"Duncaniella sp001701225",41,28,0,0,25,44,0,0,61,0,20,0,14,0,14,0,29,0,0,0,83,67,26,0,14,64,34,0,112,33,0,19,14,43,20,186,12,0,0,0,12,0,0,35,0,75,0
"Duncaniella sp014802325",40,62,0,0,19,89,0,0,63,0,37,0,17,0,12,15,16,0,0,0,83,91,35,0,13,44,30,0,128,27,0,68,15,50,28,110,13,10,11,0,21,0,0,93,0,24,11
"Duncaniella sp014802015",34,75,0,0,11,59,0,24,23,0,12,0,15,13,11,0,14,0,0,0,65,36,17,0,0,105,20,0,61,40,0,0,13,14,17,152,30,0,17,0,0,0,0,19,0,119,0
"MGYG000325456",28,64,0,0,21,92,0,13,53,0,25,0,21,19,24,0,27,0,0,0,83,63,30,0,14,82,44,0,139,41,0,25,13,52,19,180,19,0,11,0,10,0,0,47,0,103,0
"MGYG000325723",21,17,0,0,11,48,0,10,26,0,11,0,11,0,0,0,0,0,0,0,30,29,13,0,0,25,12,0,31,23,0,0,0,17,23,79,0,0,0,0,0,0,0,11,0,28,0
"MGYG000325575",11,41,0,0,10,38,0,0,26,0,0,0,0,14,16,0,20,0,0,0,63,42,14,0,0,91,20,0,75,12,0,13,12,24,15,102,33,0,14,0,0,0,0,27,0,121,0
"MGYG000325671",10,14,0,0,0,64,0,0,20,0,13,0,0,0,0,0,13,0,0,0,29,43,15,0,0,29,0,0,38,14,0,0,15,23,0,64,0,0,0,0,0,0,0,17,0,36,0
"CAG-873 sp009775135",99992,330065,44,1279,21867,111339,2624,35,34482,0,9081,8159,32069,0,30474,13568,8313,0,1849,0,293484,103346,127812,7478,6641,51,51396,0,279312,86566,0,23369,24194,28638,35222,614742,13,9083,0,0,13931,0,13215,54266,0,48,666
"CAG-873 sp002490635",92990,913154,956,1621,136901,223543,2201,52,248722,13,182195,15040,786869,72,25334,9340,43625,0,101134,0,480236,139863,274360,7088,68654,270,296527,0,611958,83597,17,18836,15572,192644,119394,445339,35,36686,83,24,121488,22,14140,70321,0,293,2444
"MGYG000328238",27285,95,601,962,4946,253233,2691,51,6442,0,1875,1760,8715,20,7989,20084,647,18,2373,0,39427,33055,6302,3787,910,67,1810,11,26756,29715,0,20,10984,4202,42319,326381,12,0,0,0,10674,0,0,39,22,49,189
"CAG-873 sp009775265",8924,48315,95,434,6654,14793,422,11,17113,0,4690,471,28050,0,3193,749,4706,0,12880,0,29331,15163,40159,477,3253,27,53538,0,41746,5453,0,2149,1629,16468,4220,21005,0,1089,0,11,11542,0,1818,6329,0,46,901
"CAG-873 sp011959565",8087,257,19,129,10739,13801,349,48,23303,0,8258,587,6293,27,3428,714,6914,0,2272,0,35421,15651,13414,635,3305,190,22221,0,43330,5460,13,58,2175,10916,1351,27693,64,10,25,0,5917,15,10,128,0,310,191
"CAG-873 sp910578365",3658,14395,108,47,499,7086,85,684,1352,0,640,354,1945,328,961,889,1033,0,569,0,20328,7041,3493,560,1567,1514,3267,78,24406,9272,58,2095,1804,4489,4669,27054,366,258,320,0,1904,97,235,3361,0,1933,185
"CAG-873 sp910587235",1570,10367,152,60,2114,10723,80,0,4347,28,647,505,17039,18,1592,885,856,0,2807,0,39464,6399,7112,395,1232,41,4082,0,38078,4788,0,11109,1311,5403,1326,12374,0,380,10,0,1824,0,513,11292,0,67,373
"CAG-873 sp009775225",1442,4955,44,31,402,3072,38,1187,1417,0,679,153,1616,1758,403,445,492,0,258,85,5152,2653,2849,173,850,7110,3093,107,7011,1701,892,383,590,2626,1545,9936,1424,226,2908,0,772,672,150,1248,0,15949,218
"CAG-873 sp009775535",833,21731,0,28,386,10649,28,5463,1412,0,203,293,8864,334,2092,1243,440,0,352,82,9734,3055,2208,228,670,32990,3473,278,18410,2116,5300,52,1393,5784,1125,20635,13824,976,3786,0,976,5958,1110,117,0,132723,0
"CAG-873 sp910577315",761,935,70,69,652,2407,145,339,2817,0,1025,604,1149,124,656,307,732,0,434,0,6619,6459,4249,322,994,1302,10574,29,10582,2626,33,1576,1049,6417,876,5717,194,80,117,0,2947,35,137,1915,0,908,1392
"CAG-873 sp910584905",452,1040,38,33,261,950,45,91,1257,0,488,207,459,163,238,114,345,0,230,0,2956,2728,2175,103,384,385,4597,11,5262,1274,27,256,448,2221,387,2937,90,22,115,0,1277,40,33,490,0,661,580
"CAG-873 sp910587545",388,75,0,14,105,176,20,0,273,0,430,14,64,11,51,17,163,0,11,0,444,156,207,0,54,19,359,0,600,99,0,24,41,174,101,1124,0,0,0,0,29,0,0,42,0,33,11
"CAG-873 sp910586455",291,1111,30,18,132,865,27,226,408,0,159,91,295,110,148,114,227,0,114,0,1709,1261,537,75,221,555,881,46,2408,791,0,224,316,886,492,2513,136,43,83,0,359,42,39,369,0,358,153
"MGYG000324412",263,422,0,13,156,937,25,381,562,0,228,121,232,130,128,146,208,0,86,0,883,1309,598,65,145,636,901,0,1566,466,0,116,231,856,241,1549,112,27,85,0,424,0,52,240,0,493,178
"CAG-873 sp910587915",182,65,0,0,60,949,17,49,400,0,177,75,95,0,84,238,186,0,22,0,595,1465,297,71,80,117,614,0,1254,680,0,24,440,682,286,1463,29,0,0,0,215,0,12,37,0,82,73
"CAG-873 sp001689665",158,236,13,15,136,598,30,66,392,0,185,69,184,27,121,95,159,0,66,0,929,901,250,35,125,187,540,0,1282,246,0,85,165,444,243,1160,32,23,22,0,219,0,26,124,0,96,60
"CAG-873 sp017624155",126,886,0,0,138,280,0,0,268,0,166,17,679,0,54,23,43,0,97,0,599,209,289,12,70,18,250,0,681,121,0,56,28,229,121,576,12,39,0,0,130,0,16,161,0,24,0
"MGYG000329414",110,213,10,0,186,270,14,0,622,0,313,49,122,0,96,42,181,0,114,0,1020,621,371,32,89,24,715,0,1417,281,0,329,116,396,90,502,0,0,0,0,272,0,13,463,0,31,116
"CAG-873 sp910578095",107,120,13,0,55,333,14,63,193,0,72,46,73,24,42,59,83,0,27,0,350,603,179,30,58,108,302,0,575,163,0,46,112,392,147,586,23,0,13,0,149,0,14,107,0,93,44
"CAG-873 sp910586975",109,48,0,0,37,787,12,57,269,0,109,39,42,34,58,150,128,0,13,0,363,791,128,49,42,130,167,0,678,315,0,28,253,312,228,852,28,0,0,0,54,0,14,30,0,101,22
"CAG-873 sp001689415",101,370,0,0,84,186,0,0,158,0,92,14,103,0,59,25,69,0,45,0,578,214,159,22,47,68,196,0,654,132,0,137,59,145,68,550,25,15,0,0,71,0,20,256,0,75,16
"MGYG000325453",96,320,31,12,48,226,12,18,137,0,72,30,96,40,52,25,74,0,20,0,247,234,109,0,41,223,162,0,370,60,11,93,34,131,110,614,44,10,33,0,73,10,15,183,0,192,40
"CAG-873 sp910587475",80,192,19,13,66,287,30,96,191,0,121,40,91,29,57,34,72,0,46,0,453,392,129,21,55,194,297,0,593,177,0,351,64,208,182,543,35,13,26,0,118,0,0,292,0,165,44
"CAG-873 sp900550395",79,92,0,0,142,291,11,29,189,0,149,12,125,22,55,35,68,0,54,0,489,162,74,0,39,150,121,0,704,55,0,43,35,140,78,551,17,0,18,0,67,0,0,103,0,133,13
"MGYG000325639",77,132,0,0,19,112,0,0,85,0,57,0,38,0,15,13,40,0,0,0,134,140,88,13,20,50,131,0,253,48,0,40,24,111,28,462,0,0,0,0,25,0,0,51,0,28,0
"CAG-873 sp910576935",70,119,0,0,54,138,0,0,140,0,64,14,23,0,26,14,54,0,21,0,232,158,68,0,20,22,96,0,280,79,0,195,38,94,45,320,0,0,0,0,52,0,12,224,0,35,13
"MGYG000328998",66,44,0,0,30,242,0,22,122,0,40,19,29,0,26,34,53,0,0,0,216,323,128,15,34,36,151,0,298,99,0,0,56,167,77,291,11,0,0,0,68,0,0,19,0,52,22
"CAG-873 sp910578035",64,654,36,10,52,187,12,31,133,16,109,29,72,31,57,17,100,0,24,0,380,262,104,13,39,172,199,0,575,46,11,156,52,146,104,526,32,12,21,0,112,17,12,252,0,167,66
"MGYG000322997",63,74,0,0,26,475,0,18,82,0,25,20,73,37,37,39,39,0,12,0,135,173,57,11,20,131,96,0,218,74,0,30,31,106,67,498,26,0,29,0,57,0,14,70,0,147,11
"MGYG000325431",59,101,0,0,77,224,10,0,260,0,83,84,132,0,54,19,90,0,51,0,364,486,221,25,83,14,241,0,496,121,0,36,67,401,40,299,0,12,0,0,303,0,0,52,0,16,41
"CAG-873 sp905202215",57,92,0,0,16,110,0,0,70,0,52,0,32,0,22,17,37,0,10,0,127,143,64,0,25,37,114,0,262,55,0,60,24,104,43,290,0,0,0,0,31,0,0,69,0,42,0
"CAG-873 sp009775195",49,64,0,0,46,150,0,0,95,0,26,38,69,16,46,19,23,0,14,0,210,212,117,12,37,35,113,0,268,68,0,21,34,183,35,226,0,0,13,0,128,0,0,40,0,57,24
"CAG-873 sp910586995",48,149,0,0,30,116,0,43,90,0,46,25,51,15,24,22,39,0,13,0,182,230,92,10,22,64,168,0,236,78,0,32,48,151,53,228,24,0,0,0,104,0,0,53,0,80,33
"CAG-873 sp910577355",47,173,0,0,51,191,0,0,113,0,36,20,112,0,15,15,29,0,20,0,261,192,114,11,31,0,136,0,292,71,0,24,22,175,30,282,0,11,0,0,54,0,0,54,0,0,12
"MGYG000325570",44,40,0,0,33,121,0,0,108,0,30,35,38,0,25,16,41,0,17,0,226,339,157,15,44,0,330,0,387,91,0,25,39,256,20,176,0,0,0,0,133,0,0,32,0,0,47
"MGYG000325620",43,93,0,0,32,68,0,0,74,0,16,0,29,13,33,0,25,0,10,0,133,94,36,0,18,69,78,0,203,43,0,52,19,48,36,216,20,0,0,0,35,0,0,53,0,89,0
"CAG-873 sp001701165",42,155,0,0,14,175,0,0,51,0,23,0,26,0,23,59,32,0,0,0,110,129,86,0,40,25,60,0,163,49,0,47,44,118,62,328,0,0,0,0,20,0,25,80,0,22,0
"MGYG000325469",41,283,18,11,38,85,0,23,87,0,45,15,42,42,35,0,46,0,20,0,274,93,57,0,18,134,101,0,320,28,0,106,31,74,50,237,30,0,33,0,62,0,0,206,0,101,32
"CAG-873 sp003979155",35,131,0,0,29,94,0,0,69,0,33,0,84,12,0,12,42,0,0,0,115,85,44,0,21,40,73,0,143,23,0,25,15,79,40,235,14,0,12,0,20,0,0,65,0,39,0
"MGYG000325729",34,93,0,0,45,93,0,0,46,0,22,0,25,0,13,0,24,0,13,0,151,89,30,0,15,14,47,0,195,48,0,16,15,46,29,201,13,0,0,0,19,0,0,27,0,28,0
"CAG-873 sp910576775",32,133,0,0,26,143,0,25,80,0,37,12,66,31,31,25,46,0,12,0,211,168,78,0,39,124,85,0,300,57,12,61,27,122,71,314,19,17,29,0,36,0,14,134,0,162,0
"MGYG000325342",31,16,0,0,19,48,0,18,50,0,42,0,0,0,23,0,29,0,0,0,102,46,19,0,15,152,17,0,94,24,0,0,0,25,21,170,25,0,22,0,0,0,0,0,0,280,0
"MGYG000325463",30,135,0,0,29,69,0,0,68,0,25,10,26,0,17,0,27,0,0,0,134,83,41,0,22,69,74,0,193,33,0,39,14,64,41,185,16,0,0,0,43,0,0,84,0,24,16
"CAG-873 sp910587355",28,71,0,0,28,33,0,0,53,0,36,0,28,0,16,0,20,0,15,0,99,39,34,0,21,10,39,0,113,23,0,44,0,42,19,124,0,0,0,0,23,0,0,42,0,0,0
"CAG-873 sp910583525",29,41,0,0,23,85,0,0,56,0,23,0,40,0,13,18,29,0,0,0,124,114,31,0,16,26,55,0,155,20,0,24,27,45,14,106,0,0,0,0,17,0,0,37,0,30,0
"MGYG000328958",27,102,0,0,68,80,0,0,77,0,42,14,45,0,28,10,34,0,28,0,183,66,49,0,24,16,77,0,239,41,0,156,14,61,28,122,0,10,0,0,53,0,13,178,0,10,19
"MGYG000325379",26,110,0,0,16,19,0,0,31,0,22,0,17,0,14,0,0,0,13,0,128,40,16,0,18,76,26,0,86,18,0,18,11,20,25,166,21,0,0,0,18,0,0,29,0,92,0
"CAG-873 sp910584495",24,61,0,0,51,84,0,0,96,0,49,0,37,0,20,0,38,0,24,0,132,128,54,0,18,61,96,0,184,30,0,64,23,87,28,198,0,0,0,0,46,0,0,70,0,34,0
"CAG-873 sp910589055",23,82,0,0,21,107,0,12,44,0,25,11,0,0,15,16,27,0,0,0,134,101,46,0,14,15,58,0,141,32,0,32,13,56,23,133,11,0,0,0,29,0,0,51,0,30,20
"CAG-873 sp910586595",20,43,0,0,11,69,0,12,44,0,12,14,12,0,16,0,13,0,13,0,70,123,41,10,14,24,66,0,103,39,0,11,27,85,27,140,10,0,0,0,32,0,0,19,0,11,0
"MGYG000325473",20,10,0,0,48,104,0,0,100,0,30,50,39,0,37,12,52,0,17,0,184,271,74,11,50,0,120,0,217,47,0,14,39,212,11,98,0,0,0,0,151,0,0,0,0,0,33
"CAG-873 sp910587925",20,10,0,0,19,122,0,11,96,0,35,13,11,0,22,19,45,0,0,0,117,174,28,12,29,21,45,0,168,54,0,11,42,94,31,140,0,0,0,0,22,0,0,16,0,11,0
"CAG-873 sp900555715",17,63,0,0,50,59,0,0,46,0,60,0,56,0,24,0,24,0,33,0,113,56,54,0,20,15,72,0,147,24,0,91,17,57,23,120,0,0,0,0,36,0,0,93,0,26,10
"CAG-873 sp002493945",12,36,0,0,29,35,0,0,31,0,14,0,29,0,12,0,0,0,18,0,61,58,20,0,0,24,36,0,79,18,0,40,15,53,0,73,0,0,0,0,22,0,0,53,0,11,11
"CAG-873 sp002491245",11,25,0,0,0,36,0,0,27,0,12,0,0,0,0,0,17,0,0,0,37,45,0,0,0,20,13,0,53,27,0,0,11,18,13,69,0,0,0,0,0,0,0,0,0,27,0
"MGYG000329571",11,11,0,0,0,41,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,15,10,0,22,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,19,0
"MGYG000325537",10,21,0,0,10,10,0,0,12,0,0,0,0,0,15,0,11,0,0,0,27,12,0,0,0,21,0,0,65,0,0,0,0,19,0,68,0,0,0,0,0,0,0,0,0,17,0
"CAG-485 sp009775365",68691,204841,190,642,7179,97534,591,26,56336,0,7381,2666,4959,75,6744,7666,13491,0,820,0,88939,104227,96491,4461,15688,159,42519,0,240288,84337,16,1058,17012,59281,29872,453345,47,5072,78,32,2638,36,2223,3920,24,429,493
"CAG-485 sp002493045",49680,136424,297,612,4259,53904,649,144,25579,25,17349,998,7535,275,4644,8051,4909,11,922,0,161289,47230,39329,2865,11568,1196,22819,24,152479,48108,79,4373,12675,49654,26843,688399,246,2391,356,61,2477,77,8849,22123,30,1954,556
"CAG-485 sp009775355",20150,26851,506,260,1090,28504,162,0,4079,0,2921,744,2655,31,1402,4744,1530,0,782,0,24419,22109,13695,1534,4460,122,7966,0,39467,18608,0,4913,4743,6555,17596,121858,24,764,33,0,3309,0,1431,18257,0,123,135
"CAG-485 sp002362485",21620,50909,1003,944,12467,47093,1444,3065,37961,49,24873,3843,30044,6522,6762,4830,13657,0,12221,66,124563,75307,59444,3000,10901,20588,77921,273,150738,28980,1720,34610,13728,57777,20353,128220,3224,2246,7418,79,19694,946,3375,79687,0,24408,11795
"CAG-485 sp002361215",14316,47730,360,265,4323,35237,303,169,18099,20,4425,1958,15418,385,6379,5108,4067,0,4642,0,68500,23640,14812,1721,11784,1196,18726,29,78126,23158,98,11618,5674,17169,16020,128960,236,2855,450,14,5336,86,2720,36289,0,1791,1419
"CAG-485 sp002491945",8427,11263,104,161,1508,11234,278,2843,5522,15,1561,492,10226,11802,2931,882,1505,0,3296,330,22359,10890,21720,1183,12518,38694,21536,782,31862,10920,3466,569,4334,33719,7675,150794,9348,1429,21095,0,4219,4472,589,1136,0,62508,421
"CAG-485 sp002361155",8148,59334,508,685,3330,22730,345,210,10411,16,4007,3361,50807,543,3590,1637,2631,0,21135,0,34711,13922,29073,1154,11310,1732,26420,20,78568,12351,126,16479,2749,28852,5303,50639,189,2519,588,13,11910,84,1581,37430,0,2352,4057
"MGYG000410771",1359,5765,100,58,997,3474,123,216,2877,16,1520,260,2811,224,689,400,1078,0,576,0,6932,3797,2630,163,812,1738,5298,62,10977,1524,48,1356,805,3534,1853,10018,268,303,231,0,1200,81,291,3119,0,1522,358
"MGYG000325582",944,1395,45,18,145,1769,22,77,422,0,215,46,355,106,142,339,189,0,65,0,1516,1549,692,129,379,548,713,14,2243,909,25,406,373,698,942,5649,53,101,100,0,255,22,114,1052,0,421,22
"CAG-485 sp002493515",482,1536,59,31,221,654,54,19,460,18,282,78,257,23,152,68,242,0,125,0,1410,727,678,28,108,245,756,0,1836,266,0,515,168,384,391,3567,55,19,28,0,308,10,40,876,0,174,148
"CAG-485 sp003979075",406,7701,10,17,197,1975,24,10,617,0,274,89,556,11,342,637,207,0,113,0,1465,3103,2684,107,566,58,2292,0,1676,1556,0,5906,969,3952,574,7452,17,517,0,0,206,0,688,15034,0,83,110
"CAG-485 sp001701295",322,173,0,22,267,798,34,0,802,0,339,263,584,0,151,71,199,0,195,0,1836,1632,1181,77,233,37,1606,0,2615,627,0,37,210,1459,177,1676,11,10,0,0,1150,0,17,124,0,18,377
"MGYG000325475",278,1074,48,36,245,863,37,105,674,16,301,108,223,88,180,115,288,0,145,0,1383,1152,548,60,200,323,886,13,2169,415,19,310,267,784,375,1969,81,27,78,0,395,19,45,563,0,352,170
"MGYG000327930",276,712,0,10,36,440,0,0,215,0,36,15,122,21,39,59,44,0,37,0,324,522,511,20,59,64,409,0,1309,424,0,46,97,510,189,2077,11,22,10,0,58,10,13,145,0,89,19
"CAG-485 sp910584055",293,674,45,46,373,937,61,55,803,0,303,75,363,92,254,115,321,0,127,0,1390,1159,446,49,229,302,818,0,2133,340,17,300,242,851,315,2239,79,39,71,0,374,23,74,604,0,306,110
"MGYG000325569",255,489,12,15,96,541,27,70,326,0,97,44,248,418,170,51,116,0,104,27,765,656,526,50,570,1108,557,33,1033,311,83,125,205,1332,251,3547,469,62,522,0,241,152,28,182,0,1624,39
"CAG-485 sp910579845",215,385,48,40,335,728,55,71,976,0,361,212,276,112,275,63,313,0,112,0,1593,2008,834,75,325,457,1777,0,2759,475,30,578,281,1814,264,1143,55,26,133,0,978,25,25,771,0,330,300
"CAG-485 sp910584125",202,224,10,27,154,785,39,38,658,0,173,162,192,30,173,95,182,0,120,0,1260,1564,908,58,226,169,1646,0,2187,464,0,218,222,1297,182,1326,44,14,24,0,735,0,40,268,0,103,263
"CAG-485 sp910578385",175,243,0,0,113,599,13,156,363,0,162,57,128,50,106,105,153,0,54,0,584,792,295,47,73,407,421,11,932,322,12,75,161,416,187,1106,90,15,56,0,193,15,36,144,0,265,47
"MGYG000325346",168,282,19,30,162,661,42,13,375,0,206,51,273,10,144,75,190,0,60,0,837,981,237,29,180,71,443,0,1002,155,0,81,189,558,174,931,52,13,17,0,174,15,16,206,0,140,63
"MGYG000324474",156,710,18,0,114,362,12,0,260,0,134,25,147,0,61,47,81,0,51,0,467,365,238,16,88,20,230,0,778,214,0,148,65,256,148,1214,0,30,10,0,86,0,21,281,0,38,24
"CAG-485 sp910586175",148,238,0,0,93,579,28,0,532,0,112,162,163,0,127,83,162,0,62,0,837,1480,674,52,210,40,1446,0,1508,364,0,61,256,1456,96,784,0,0,0,0,724,0,30,139,0,36,194
"MGYG000329437",145,332,0,0,37,370,13,13,235,0,53,40,49,25,54,34,83,0,14,0,323,626,329,31,62,60,443,0,714,198,0,20,109,501,67,805,0,0,15,0,173,0,0,48,0,72,55
"MGYG000325442",138,300,0,0,90,396,18,0,242,0,110,44,116,20,86,70,123,0,31,0,441,721,222,33,86,66,287,0,607,129,0,104,179,534,131,838,15,16,16,0,119,0,11,168,0,72,51
"CAG-485 sp910577585",135,288,0,11,56,286,19,31,275,0,85,55,91,33,85,39,90,0,29,0,719,542,297,22,64,186,651,0,1051,247,0,90,101,431,120,858,31,20,37,0,194,11,22,217,0,131,83
"CAG-485 sp009775375",110,368,27,20,139,376,25,46,301,0,114,38,260,114,84,38,103,0,57,0,500,388,147,19,80,244,340,0,620,121,27,190,68,231,147,683,45,0,101,0,144,25,18,362,0,407,44
"MGYG000347897",109,274,10,0,53,182,0,0,132,0,88,11,60,0,40,20,82,0,34,0,266,240,163,10,70,40,206,0,435,99,0,77,52,202,84,760,13,19,0,0,26,0,23,199,0,40,25
"CAG-485 sp910578075",98,164,0,14,78,386,26,87,301,0,92,63,111,13,84,60,113,0,66,0,457,647,290,27,67,154,652,0,874,217,0,69,117,429,170,829,48,0,17,0,315,0,15,122,0,82,118
